country_name,country_code,year,total_imports_usd,italian_exports_usd,italian_market_share_pct
France,FRA,2024,988100415.744,313332801.44,31.71062337870519
French Polynesia,PYF,2018,12966579.3,49180.829,0.3792891545420926
French Polynesia,PYF,2019,13142488.145,40009.445,0.3044282373214193
French Polynesia,PYF,2020,13517564.668,23276.812,0.17219678671190658
French Polynesia,PYF,2021,15827469.907,42725.311,0.2699440355979064
French Polynesia,PYF,2022,15188387.411,53440.112,0.35184849157387615
French Polynesia,PYF,2023,15337165.214,61538.241,0.40123608333974875
French Polynesia,PYF,2024,15602318.294,32754.477,0.2099333982475925
Gabon,GAB,2018,9650428.705,57310.517,0.593864985192904
Gabon,GAB,2019,8174453.884,44151.673,0.5401177084920479
Gabon,GAB,2020,7038526.524,21574.94,0.30652637205292427
Gabon,GAB,2021,8779231.058,46103.217,0.5251395788015948
Gabon,GAB,2022,9283762.69,75118.171,0.8091349758532013
Gabon,GAB,2023,9156403.758,45228.385,0.49395358915320564
Gambia,GMB,2018,33536.079,2565.032,7.648574539677106
Gambia,GMB,2019,20991.568,23472.999,111.82108454213615
Gambia,GMB,2020,26403.413,0,0
Gambia,GMB,2021,30676.26,0,0
Gambia,GMB,2022,17590.884,0,0
Gambia,GMB,2023,56143.39,0,0
Gambia,GMB,2024,58658.194,0,0
Georgia,GEO,2018,3403544.58,749667.237,22.026073682278607
Georgia,GEO,2019,3461453.74,917219.151,26.498090683713716
Georgia,GEO,2020,2857476.17,850472.288,29.76305793654265
Georgia,GEO,2021,3913556.34,957868.26,24.47564764073385
Georgia,GEO,2022,5014740.877,1308942.606,26.101899143053163
Georgia,GEO,2023,5947922.453,2582070.546,43.411301448586656
Georgia,GEO,2024,7432579.169,2267925.293,30.51330152605873
Germany,DEU,2018,3161442061.241,1226593760.018,38.798552567384704
Germany,DEU,2019,2974649228.703,1158467671.467,38.94468162123816
Germany,DEU,2020,3026462041.502,1223899461.474,40.43994091750089
Germany,DEU,2021,3406239144.204,1330274822.96,39.05406422281224
Germany,DEU,2022,2985788939.389,1218926082.264,40.82425472824734
Germany,DEU,2023,2980388434.971,1285155231.438,43.120393850625874
